Time,Alpha_Wave,Gamma_Wave,label
573.5,98.4,86.1,POSITIVE
574,98.4,86,POSITIVE
574.5,98.5,85.9,POSITIVE
575,98.5,85.8,POSITIVE
575.5,98.5,85.8,POSITIVE
576,98.5,85.8,POSITIVE
576.5,98.5,85.8,POSITIVE
577,98.5,85.8,POSITIVE
577.5,98.5,85.8,POSITIVE
578,98.4,85.8,POSITIVE
578.5,98.4,85.9,POSITIVE
579,98.3,85.9,POSITIVE
579.5,98.3,85.9,POSITIVE
580,98.3,86,POSITIVE
580.5,98.4,85.9,POSITIVE
581,98.3,85.9,POSITIVE
581.5,98.3,85.8,POSITIVE
582,98.2,85.8,POSITIVE
582.5,98.2,85.8,POSITIVE
583,98.1,85.8,POSITIVE
583.5,98,85.9,POSITIVE
584,98,85.9,POSITIVE
584.5,98.1,85.9,POSITIVE
585,98.1,85.9,POSITIVE
585.5,98.2,85.9,POSITIVE
586,98.2,86,POSITIVE
586.5,98.2,86,POSITIVE
587,98.2,86,POSITIVE
587.5,98.3,86,POSITIVE
588,98.4,86,POSITIVE
588.5,98.5,86.1,POSITIVE
589,98.6,86.1,POSITIVE
589.5,98.6,86.2,POSITIVE
590,98.6,86.2,POSITIVE
590.5,98.6,86.2,POSITIVE
591,98.5,86.1,POSITIVE
591.5,98.4,85.9,POSITIVE
592,98.3,85.8,POSITIVE
592.5,98.2,85.8,POSITIVE
593,98.2,85.8,POSITIVE
593.5,98.1,85.8,POSITIVE
594,98.1,85.7,POSITIVE
594.5,98.1,85.7,POSITIVE
595,98.1,85.7,POSITIVE
595.5,98.1,85.6,POSITIVE
596,98,85.6,POSITIVE
596.5,98,85.5,POSITIVE
597,98,85.5,POSITIVE
597.5,98.1,85.7,POSITIVE
598,98.1,85.9,POSITIVE
598.5,98.1,86.1,POSITIVE
599,98.1,86.2,POSITIVE
599.5,98.1,86.3,POSITIVE
600,98.1,86.3,POSITIVE
600.5,98,86.3,POSITIVE
601,98,86.2,POSITIVE
601.5,97.9,86,POSITIVE
602,97.9,86,POSITIVE
602.5,98,86,POSITIVE
603,98,86,POSITIVE
603.5,98,86,POSITIVE
604,98,85.9,POSITIVE
604.5,97.9,85.9,POSITIVE
605,97.9,86,POSITIVE
605.5,97.8,86,POSITIVE
606,97.9,86,POSITIVE
606.5,98,86,POSITIVE
607,98,85.9,POSITIVE
607.5,98.1,86,POSITIVE
608,98,86,POSITIVE
608.5,97.9,86,POSITIVE
609,97.8,86,POSITIVE
609.5,97.9,86,POSITIVE
610,97.9,86,POSITIVE
610.5,97.8,85.9,POSITIVE
611,97.8,85.9,POSITIVE
611.5,97.7,85.9,POSITIVE
612,97.6,85.9,POSITIVE
612.5,97.6,85.9,POSITIVE
613,97.7,86,POSITIVE
613.5,97.7,86,POSITIVE
614,97.7,86,POSITIVE
614.5,97.7,86.1,POSITIVE
615,97.7,86.1,POSITIVE
615.5,97.7,86.1,POSITIVE
616,97.7,86.1,POSITIVE
616.5,97.7,86.1,POSITIVE
617,97.7,86,POSITIVE
617.5,97.8,85.9,POSITIVE
618,97.9,85.9,POSITIVE
618.5,97.9,85.9,POSITIVE
619,98,86,POSITIVE
619.5,98,86,POSITIVE
620,98,85.9,POSITIVE
620.5,97.9,85.8,POSITIVE
621,97.8,85.7,POSITIVE
621.5,97.8,85.7,POSITIVE
622,97.8,85.6,POSITIVE
622.5,97.8,85.6,POSITIVE
623,97.9,85.6,POSITIVE
623.5,97.9,85.6,POSITIVE
624,98,85.7,POSITIVE
624.5,98,85.8,POSITIVE
625,98,85.8,POSITIVE
625.5,97.9,85.8,POSITIVE
626,97.9,85.7,POSITIVE
626.5,97.8,85.6,POSITIVE
627,97.8,85.6,POSITIVE
627.5,97.8,85.5,POSITIVE
